topicid,name
1,Activism
2,Addiction
3,Adventure
4,Advertising
5,Africa
6,Aging
7,Agriculture
8,AI
9,AIDS
10,Aircraft
11,Algorithm
12,Alternative energy
13,Alzheimer's
14,Ancient world
15,Animals
16,Animation
17,Antarctica
18,Anthropocene
19,Anthropology
20,Ants
21,Apes
22,Archaeology
23,Architecture
24,Art
25,Arts
26,Asia
27,Asteroid
28,Astrobiology
29,Astronomy
30,Atheism
31,Augmented reality
32,Autism
33,Autism spectrum disorder
34,Bacteria
35,Beauty
36,Bees
37,Behavioral economics
38,Best of the Web
39,Big bang
40,Big problems
41,Biodiversity
42,Bioethics
43,Biology
44,Biomechanics
45,Biomimicry
46,Bionics
47,Biosphere
48,Biotech
49,Birds
50,Blindness
